R1,L1,R2,L2,R3,L3,R4,L4,R5,L5,R6,L6,Status
63,64.89,90,93.6,20,21.2,36,32.76,4,4.24,13,24.18,Abnormal
11,7.92,33,49.5,66,65.34,38,39.9,7,7.07,74,44.4,Abnormal
31,28.21,23,4.83,95,24.7,35,55.3,14,13.72,22,22.88,Risk
34,66.3,15,14.25,40,38.4,75,82.5,69,66.93,66,66,Abnormal
28,33.04,34,21.42,91,128.31,25,24.75,39,68.25,23,22.08,Risk
49,0,56,52.08,82,89.38,29,26.1,9,8.91,46,47.84,Abnormal
87,87,59,63.13,53,57.24,11,11.11,60,66,14,13.44,Abnormal
30,30,85,164.9,86,92.02,91,87.36,13,13,58,63.8,Abnormal
61,105.53,7,7.49,32,31.04,11,10.89,54,54,95,100.7,Abnormal
61,117.73,60,72.6,82,68.06,94,91.18,9,9,45,46.35,Risk
36,38.88,95,91.2,43,43.43,19,17.86,91,7.28,5,3.65,Risk
49,43.12,76,72.96,17,16.83,17,4.08,73,64.24,28,32.76,Risk
54,50.22,70,65.1,41,38.95,53,53,34,32.64,15,4.5,Abnormal
35,5.25,60,6.6,74,75.48,92,178.48,13,12.74,18,4.86,Risk
9,8.46,28,28.84,19,13.3,78,26.52,39,36.27,68,71.4,Risk
28,26.88,34,34,7,13.44,90,29.7,27,25.65,21,40.53,Risk
7,5.32,2,1.82,78,75.66,12,14.4,31,30.38,86,84.28,Risk
1,1.03,59,63.72,96,89.28,34,33.66,23,23,7,6.51,Abnormal
50,81,10,9.3,28,28.56,9,8.1,73,67.89,95,91.2,Abnormal
44,43.56,58,52.78,3,2.97,74,75.48,32,4.48,71,71,Risk
8,13.52,30,27.6,61,64.66,87,17.4,88,51.92,95,100.7,Risk
15,14.1,64,64.64,12,6.36,30,29.1,43,59.34,35,45.15,Risk
33,34.65,65,58.5,10,10,28,29.12,48,46.08,32,38.4,Abnormal
78,85.8,16,16.48,1,1.23,7,0.63,36,36,78,103.74,Risk
5,5.35,46,50.6,94,37.6,71,73.84,65,116.35,13,17.81,Risk
40,36,64,58.88,26,4.68,13,8.06,77,83.93,35,43.75,Risk
15,14.55,61,55.51,56,56,83,81.34,50,86,19,8.17,Risk
63,57.33,31,8.99,57,10.26,91,171.08,66,66,50,86,Risk
94,100.58,43,79.55,44,44,88,93.28,91,63.7,78,75.66,Risk
77,78.54,54,10.26,43,30.53,47,46.53,93,92.07,40,54,Risk
40,42.8,38,38,6,5.76,80,76.8,16,31.52,76,82.84,Risk
95,18.05,61,11.59,10,15.7,57,54.15,19,20.52,45,41.4,Risk
28,45.92,72,71.28,43,46.01,71,73.13,92,92,31,31,Abnormal
48,31.2,82,89.38,16,29.12,42,40.32,6,6.42,59,63.13,Risk
86,88.58,4,4.48,51,22.44,4,5.88,47,32.43,27,25.38,Risk
22,22.22,10,2.1,80,43.2,43,39.99,54,1.08,25,23.75,Risk
39,39.78,77,55.44,41,40.59,12,13.56,67,64.99,21,20.79,Risk
93,101.37,19,17.86,12,12.84,2,1.82,27,28.89,78,120.12,Abnormal
69,70.38,34,37.06,40,40,11,10.12,37,36.63,10,3.5,Abnormal
45,0,95,96.9,21,22.47,52,53.56,67,20.1,86,78.26,Risk
74,71.04,30,31.2,56,7.28,7,6.93,56,57.12,69,69,Risk
39,37.83,23,25.07,25,45.25,94,33.84,23,23.92,12,11.28,Risk
92,89.24,62,68.2,79,7.11,37,33.3,78,83.46,37,38.11,Risk
33,34.65,59,89.68,22,40.48,44,11,77,84.7,3,2.97,Risk
51,34.17,54,92.88,48,9.12,39,36.66,67,71.69,32,32.64,Risk
52,46.8,6,5.52,38,36.1,86,162.54,46,75.9,77,84.7,Risk
20,22.6,12,12,94,96.82,24,18.48,68,19.72,82,76.26,Risk
63,69.3,85,87.55,42,42,10,1.7,76,75.24,3,2.85,Risk
70,74.9,54,54,37,59.2,92,112.24,39,21.84,61,59.78,Risk
33,54.78,79,79.79,63,37.8,64,68.48,14,20.58,70,75.6,Risk
64,119.04,13,25.22,25,12,49,95.06,89,149.52,13,12.35,Risk
45,45.45,29,12.47,9,9.09,4,0.48,19,34.77,35,4.55,Risk
53,54.59,20,10.2,80,81.6,26,43.68,19,19,95,99.75,Risk
26,20.02,68,73.44,25,4.5,15,15.15,61,67.1,78,80.34,Risk
55,55,37,37.74,10,0.2,50,48,66,64.02,82,79.54,Risk
9,8.64,96,141.12,68,68,43,24.51,55,49.5,12,23.76,Risk
71,78.1,39,39,11,2.2,78,108.42,66,116.16,32,32.64,Risk
40,40.4,4,0.4,73,72.27,78,72.54,58,52.78,2,2.18,Abnormal
92,89.24,37,37.37,11,7.48,53,54.59,67,69.01,74,71.04,Risk
10,9.7,68,68.68,85,87.55,16,15.2,3,2.91,23,23,Abnormal
66,120.12,80,83.2,26,14.82,46,45.08,6,8.76,90,91.8,Risk
2,1.94,50,51,60,75.6,4,3.88,81,139.32,9,12.87,Risk
65,24.05,21,22.47,43,39.13,10,9.6,21,22.47,72,74.88,Abnormal
93,140.43,82,110.7,6,5.88,26,24.96,85,138.55,51,42.33,Risk
17,7.31,54,53.46,40,10,59,57.82,82,82,80,80,Risk
5,5.5,13,12.09,44,42.24,62,120.28,66,58.08,72,111.6,Risk
3,3.27,93,83.7,75,81,84,85.68,41,41.82,34,30.6,Abnormal
11,10.45,75,81.75,80,72,15,14.7,78,70.98,5,5.15,Abnormal
44,46.64,74,104.34,62,99.2,55,53.9,80,80.8,37,38.48,Risk
42,43.26,34,34.34,81,88.29,86,88.58,90,90.9,91,82.81,Abnormal
80,7.2,58,59.74,40,38.8,87,121.8,93,95.79,60,62.4,Risk
28,24.92,69,14.49,58,52.2,91,164.71,70,0,69,73.83,Risk
47,42.77,15,15,95,100.7,35,50.4,18,17.46,49,45.57,Risk
60,63,81,54.27,21,21.63,80,82.4,57,53.01,83,85.49,Abnormal
46,45.54,64,64,19,17.67,62,66.96,26,23.4,36,37.44,Abnormal
88,79.2,88,94.16,2,0.04,78,80.34,40,40,78,74.1,Risk
52,54.6,74,72.52,84,87.36,8,8,15,14.7,76,60.8,Abnormal
20,2.8,80,35.2,65,59.8,36,37.8,65,66.3,68,38.08,Abnormal
6,6.18,60,59.4,82,27.06,8,14.72,65,61.1,25,24.25,Risk
50,52.5,38,71.06,88,95.04,34,58.82,13,7.41,86,142.76,Risk
25,22.5,34,63.58,78,114.66,37,28.49,20,19.2,70,66.5,Risk
51,54.57,3,3.72,29,35.96,32,30.08,1,1.02,83,82.17,Risk
91,93.73,55,53.35,77,81.62,75,74.25,44,70.84,29,29,Risk
4,4.2,93,92.07,92,83.72,25,8.25,43,44.29,3,3.03,Risk
46,45.08,62,60.76,63,4.41,42,73.08,29,23.49,87,93.09,Risk
80,25.6,33,35.31,64,62.08,13,13,44,44,77,78.54,Normal
24,25.2,17,17.85,51,52.02,62,56.42,72,74.88,89,85.44,Abnormal
22,22.66,42,46.2,50,74.5,59,59,56,52.64,91,4.55,Risk
81,77.76,60,61.2,58,54.52,59,53.1,64,64,46,87.4,Abnormal
34,41.48,38,39.14,19,19,55,64.35,74,76.22,27,27.27,Risk
85,84.15,4,3.88,90,95.4,29,30.45,39,39,56,56,Abnormal
84,92.4,76,54.72,49,94.08,53,51.94,92,87.4,87,45.24,Risk
25,16,34,39.1,93,85.56,24,35.28,92,69,18,15.12,Risk
24,37.44,38,34.96,25,41,43,45.58,76,82.08,96,86.4,Risk
70,71.4,26,28.6,38,37.62,83,85.49,24,24.48,85,78.2,Normal
66,70.62,32,50.88,9,1.26,78,78,96,21.12,71,66.03,Risk
2,2.2,34,32.3,1,0.99,21,21.42,55,51.15,36,35.64,Abnormal
58,55.1,60,64.2,77,71.61,38,74.48,7,6.44,57,11.4,Risk
16,14.4,35,34.65,93,93,23,25.07,40,42.4,58,53.36,Abnormal
25,41,58,82.94,95,94.05,92,90.16,64,66.56,27,25.92,Abnormal
26,46.28,72,69.84,85,18.7,90,82.8,76,78.28,15,14.55,Risk
43,45.15,69,71.07,51,96.39,42,39.48,20,20,16,15.2,Risk
92,179.4,61,66.49,15,19.8,85,80.75,2,3.52,67,92.46,Risk
77,71.61,31,20.77,28,1.68,38,37.24,19,19.38,57,59.28,Risk
4,7.84,48,37.44,47,47,24,24,92,101.2,48,8.16,Abnormal
84,105,38,38.38,73,77.38,68,61.88,64,84.48,69,70.38,Risk
53,95.93,92,162.84,85,85,69,78.66,73,77.38,20,34.6,Risk
67,62.98,23,22.31,65,71.5,17,20.91,20,19.8,2,1.94,Risk
30,16.8,76,69.92,50,50.5,21,38.01,32,33.92,90,82.8,Risk
46,12.42,36,34.56,13,20.41,14,15.26,30,29.1,66,72.6,Risk
83,80.51,55,83.05,52,73.84,63,63.63,55,51.7,40,38.4,Risk
66,65.34,84,79.8,27,27,43,43,59,59,17,13.09,Normal
4,3.76,96,64.32,67,69.68,60,59.4,66,67.32,4,4.12,Abnormal
78,3.12,7,6.44,37,33.3,48,4.32,64,65.28,29,29,Risk
32,64,30,47.7,14,14,91,86.45,31,6.82,76,74.48,Risk
40,40,69,135.24,21,23.1,89,0.89,87,26.1,82,86.92,Risk
36,37.8,96,89.28,31,32.55,58,10.44,15,15.75,43,14.62,Risk
33,28.38,66,33,62,107.88,3,2.91,7,8.82,76,77.52,Risk
68,61.88,36,46.44,30,28.2,48,46.08,54,50.22,87,86.13,Abnormal
83,40.67,24,22.56,46,81.88,19,19,55,51.7,37,45.14,Risk
42,36.12,54,95.04,81,81.81,31,6.2,10,9.3,75,87,Risk
40,39.2,82,73.8,41,44.69,62,61.38,36,4.32,46,41.4,Risk
44,40.48,16,16.8,64,64,58,68.44,87,77.43,81,78.57,Risk
95,90.25,75,70.5,67,67.67,50,48,29,28.13,66,66,Abnormal
55,56.65,1,1.09,46,47.38,72,2.16,36,33.12,8,7.92,Risk
38,36.86,7,8.19,81,72.9,5,5.4,45,45.45,92,97.52,Abnormal
92,126.04,46,46,63,106.47,28,28.84,65,66.95,10,9.5,Risk
49,45.57,28,30.52,59,60.77,48,44.16,30,29.4,1,1,Abnormal
46,45.08,88,88,86,89.44,75,49.5,85,38.25,71,73.13,Risk
28,25.48,16,16.96,10,2.6,3,2.91,79,138.25,85,147.05,Risk
23,23,9,6.3,67,62.31,12,12.6,9,0,49,1.47,Risk
31,30.38,33,31.35,85,85,9,8.37,37,36.26,15,16.05,Abnormal
83,86.32,5,5.05,24,22.56,17,18.02,75,75,39,37.83,Abnormal
83,89.64,43,42.57,42,40.74,54,55.62,60,60,16,31.36,Normal
78,77.22,73,76.65,13,12.87,80,78.4,89,52.51,43,77.83,Risk
56,56,56,59.36,14,15.12,4,4.36,43,47.3,21,23.1,Abnormal
93,102.3,16,26.72,76,76,88,13.2,58,62.64,13,12.22,Risk
33,31.02,45,45.45,37,38.85,65,58.5,87,87.87,15,13.5,Abnormal
42,42.84,32,30.72,7,6.37,68,65.96,27,22.68,4,4.32,Risk
45,55.8,18,17.82,34,34.34,30,30.3,13,13.13,58,56.84,Normal
21,22.47,73,71.54,77,30.8,46,43.7,84,86.52,20,19.8,Risk
44,34.76,70,74.9,21,22.05,2,2.16,65,115.7,87,104.4,Risk
24,6.96,14,14,92,92.92,77,77,46,46,79,82.16,Normal
90,92.7,72,115.92,57,58.14,21,4.83,96,96,57,71.82,Risk
57,64.41,30,27,41,41.41,33,36.3,43,43,84,85.68,Abnormal
51,48.45,33,32.67,40,1.2,65,64.35,94,92.12,93,93,Risk
53,60.95,3,5.49,81,30.78,75,117.75,27,24.84,3,4.56,Risk
54,55.62,60,21.6,17,18.53,71,77.39,31,31.31,77,78.54,Abnormal
25,23.25,66,103.62,38,38,2,1.8,15,19.35,25,25,Risk
8,7.28,22,23.54,29,27.26,59,63.72,90,108,49,51.94,Risk
42,81.9,11,11,23,21.85,96,93.12,1,1.01,77,78.54,Abnormal
25,25.75,21,22.68,73,142.35,29,29,8,12.64,50,48,Risk
86,84.28,76,69.92,25,26.75,14,14.42,55,100.65,11,13.2,Risk
15,21,61,57.34,62,60.14,73,78.84,50,12.5,92,91.08,Risk
45,49.5,39,20.67,71,73.13,3,3,38,11.78,28,51.24,Risk
6,6.96,20,20,81,85.86,47,91.18,64,57.6,10,9.8,Risk
22,23.76,62,3.1,22,23.98,94,94.94,65,60.45,95,103.55,Abnormal
59,59.59,70,69.3,90,5.4,10,13.4,33,34.65,70,70,Risk
93,30.69,30,32.7,15,15.15,32,49.28,2,2.12,47,93.53,Risk
15,3.75,35,35.7,26,25.48,52,47.32,34,35.7,80,64,Abnormal
35,35,32,32.32,25,25.5,55,13.2,86,84.28,90,90,Risk
78,91.26,14,21.84,25,6.75,72,26.64,30,28.2,17,15.47,Risk
75,82.5,44,44,32,30.72,87,87.87,18,18.72,85,85,Abnormal
28,29.68,28,4.76,42,45.36,56,66.08,42,43.26,12,0.36,Risk
93,168.33,44,58.52,27,21.87,76,80.56,49,49,53,53,Risk
46,46,79,82.16,25,22.75,76,76.76,45,2.25,8,8.08,Risk
20,19.8,65,69.55,60,57,41,41.82,6,3.24,37,37.74,Risk
22,21.56,89,163.76,83,87.98,38,37.62,4,4.44,7,8.33,Risk
84,74.76,87,95.7,86,82.56,35,35.35,14,14.98,91,91,Abnormal
23,26.45,68,112.2,34,34,95,96.9,72,72.72,94,94,Normal
50,60.5,10,9.7,83,75.53,61,62.83,9,15.21,48,52.8,Risk
63,26.46,46,31.28,49,71.54,65,70.85,95,99.75,38,35.34,Risk
67,68.34,69,77.28,38,36.1,36,60.12,9,9.27,54,56.7,Risk
67,69.01,21,34.02,57,111.72,15,15.3,26,44.72,85,90.95,Risk
32,52.8,30,30.9,95,95.95,65,63.7,37,30.71,10,4.3,Risk
84,91.56,2,2.02,89,87.22,31,27.59,83,78.85,92,129.72,Risk
89,93.45,13,12.87,23,23.46,68,66.64,45,87.3,11,6.05,Risk
1,0.45,63,63,6,4.32,29,35.96,88,88.88,70,99.4,Risk
88,86.24,43,42.57,57,55.29,67,69.01,70,63,28,8.96,Abnormal
78,76.44,38,19.76,92,92,90,88.2,30,33,34,30.6,Abnormal
32,30.4,30,27,70,67.9,11,11.33,62,67.58,85,85,Abnormal
3,3.06,36,30.96,86,86,81,87.48,44,54.56,58,55.1,Risk
21,7.35,83,85.49,92,115.92,48,48,71,73.13,81,81.81,Risk
12,11.88,92,8.28,38,18.24,11,10.89,41,53.71,76,45.6,Risk
33,32.01,43,27.09,4,4.44,53,54.59,95,85.5,34,32.98,Risk
46,36.8,75,45.75,88,89.76,96,179.52,27,1.62,51,54.57,Risk
4,4,63,98.28,80,157.6,16,7.84,13,12.35,85,92.65,Risk
1,0.17,71,67.45,46,28.98,33,26.4,16,14.56,17,6.12,Risk
45,41.85,35,36.75,1,0.39,66,62.7,2,1.48,53,53,Risk
42,45.78,32,32.96,38,36.86,50,47,49,47.53,10,18.1,Abnormal
68,62.56,7,6.02,74,32.56,41,41,58,62.64,60,60.6,Risk
70,44.8,34,36.38,75,46.5,67,67,4,4,52,53.04,Risk
13,13.78,25,22.5,6,10.14,43,44.72,90,85.5,92,90.16,Risk
30,30,61,56.73,58,58,64,67.84,19,19.19,87,89.61,Abnormal
72,68.4,3,3,21,19.32,58,99.76,89,82.77,62,37.2,Risk
24,20.4,35,37.8,38,36.48,76,75.24,94,158.86,7,1.82,Risk
39,33.93,23,23,67,62.98,7,7.21,48,23.04,66,64.68,Risk
88,79.2,55,52.25,63,63,20,18.6,35,25.2,74,78.44,Risk
81,85.86,64,57.6,87,165.3,10,10.8,25,46.25,61,65.27,Risk
54,52.92,7,7.21,14,14,17,15.47,42,43.26,35,31.5,Abnormal
14,13.72,85,36.55,79,157.21,42,36.96,18,26.64,87,91.35,Risk
55,63.8,73,103.66,83,149.4,20,10.2,58,57.42,6,4.5,Risk
30,28.8,44,47.08,67,67,44,4.84,44,34.76,61,64.66,Risk
88,92.4,32,35.2,42,39.06,22,21.56,9,8.82,72,90.72,Abnormal
84,79.8,14,26.6,24,24.24,76,60.04,32,29.76,1,1.53,Risk
64,61.44,79,77.42,74,24.42,90,89.1,28,4.2,71,68.87,Risk
68,42.16,82,83.64,57,12.54,34,40.8,59,90.27,46,47.38,Risk
66,72.6,28,25.76,9,9,45,49.5,80,125.6,72,108,Risk
4,4.04,51,58.14,75,71.25,53,48.23,62,116.56,53,53,Risk
25,23.75,62,60.76,24,11.04,73,71.54,87,94.83,37,37.37,Risk
84,78.96,62,63.24,33,53.79,91,84.63,19,17.48,5,7.85,Risk
73,66.43,96,83.52,30,33,77,62.37,38,39.52,93,97.65,Risk
94,165.44,68,95.2,38,47.88,76,2.28,14,15.4,59,21.83,Risk
83,83,91,89.18,34,34,78,74.1,78,38.22,70,66.5,Risk
19,19,5,4.75,56,57.68,27,27,71,66.74,4,3.4,Abnormal
15,4.65,21,19.95,52,80.08,86,86.86,54,49.14,34,67.32,Risk
7,7.63,80,80,38,36.1,59,56.64,84,86.52,95,59.85,Abnormal
24,22.32,96,94.08,57,56.43,25,25,27,28.35,61,73.81,Abnormal
50,75.5,74,74.74,22,22,40,36.8,65,70.2,49,82.32,Abnormal
12,12.6,91,84.63,93,93,32,32.96,88,82.72,8,8.08,Abnormal
80,82.4,53,57.77,28,26.04,95,182.4,67,64.99,50,47.5,Risk
27,9.72,93,93,82,81.18,10,9.8,30,27.6,12,16.68,Abnormal
38,37.24,56,9.52,67,62.98,8,12.32,69,125.58,45,45,Risk
44,40.04,84,90.72,78,85.02,88,23.76,63,59.22,24,25.44,Risk
31,32.24,49,49,63,58.59,27,25.92,10,12.8,11,11.11,Risk
76,62.32,57,58.14,79,81.37,31,28.83,25,29,62,62.62,Risk
24,24,68,66.64,16,14.72,94,101.52,88,38.72,19,12.92,Risk
39,37.83,67,31.49,34,34.68,18,19.62,83,88.81,53,0.53,Abnormal
75,76.5,75,71.25,54,76.14,5,4.75,20,20.8,52,50.96,Risk
95,126.35,77,20.79,20,20.8,74,81.4,96,101.76,37,10.36,Abnormal
72,96.48,95,94.05,90,95.4,48,73.44,76,136.8,33,21.12,Risk
55,55,16,16.48,15,15.75,30,0.6,43,44.29,46,20.24,Risk
81,81,10,11,13,12.61,37,40.7,86,21.5,34,41.82,Risk
5,7.7,5,5.5,4,4.16,72,25.2,55,80.85,89,89,Risk
39,61.23,18,16.74,83,43.99,76,148.96,89,81.88,59,53.1,Risk
2,1.86,73,72.27,46,42.78,9,10.08,29,29.29,9,9.45,Risk
95,86.45,38,19.76,8,9.28,75,78.75,33,34.98,18,32.22,Risk
1,1,6,9.9,79,79.79,76,79.8,73,70.81,14,1.54,Abnormal
51,55.08,21,20.16,19,11.78,41,41.82,42,26.04,52,56.16,Risk
69,67.62,88,117.04,20,20.2,1,0.59,33,33,85,87.55,Risk
91,97.37,24,22.56,81,82.62,95,101.65,67,64.32,90,90.9,Abnormal
88,160.16,24,25.68,19,18.81,91,90.09,96,52.8,86,93.74,Risk
58,56.26,3,2.88,73,68.62,92,183.08,11,10.56,60,43.2,Risk
11,10.78,58,61.48,29,31.32,25,15.5,18,18.72,82,80.36,Risk
44,3.52,53,59.36,3,3,64,62.72,58,63.8,49,45.57,Abnormal
74,74.74,35,10.85,72,66.96,64,60.8,59,62.54,27,25.38,Abnormal
89,32.04,48,49.44,65,69.55,51,94.86,26,27.82,10,5.4,Risk
62,60.76,85,82.45,67,67,23,20.7,75,55.5,64,64,Risk
90,84.6,42,40.74,91,91,85,84.15,55,50.05,34,30.6,Abnormal
17,17,56,54.32,12,11.76,75,0.75,42,37.8,33,52.14,Risk
82,83.64,84,90.72,94,96.82,74,70.3,60,57.6,30,29.7,Abnormal
27,25.11,62,62,42,39.9,29,51.33,64,64.64,24,24.96,Risk
91,98.28,15,12.75,43,38.7,65,65,51,56.1,35,31.5,Abnormal
74,68.08,82,122.18,51,53.55,14,18.9,63,110.25,17,15.81,Risk
53,49.82,10,10,73,107.31,41,40.59,55,33.55,78,70.2,Risk
41,79.54,70,22.4,70,65.8,12,12,34,57.8,31,37.82,Risk
2,1.3,77,75.46,71,80.94,78,76.44,72,79.92,5,4.85,Risk
16,15.84,7,9.38,70,76.3,13,13.52,40,42.8,40,50.8,Abnormal
14,20.3,55,56.1,45,81.9,60,99.6,91,87.36,2,2,Risk
12,19.92,66,60.06,64,64,25,23.25,4,3.72,67,40.87,Abnormal
95,95,38,40.66,54,55.08,22,24.2,52,58.76,4,3.72,Risk
47,50.29,61,114.07,24,23.76,85,62.05,17,17,42,39.06,Risk
82,77.9,29,48.72,80,75.2,64,64.64,14,15.96,45,47.25,Risk
30,30,78,117.78,47,48.88,43,43.86,78,80.34,65,70.85,Abnormal
54,54,77,80.08,71,93.72,40,30.4,77,73.15,62,22.94,Risk
69,70.38,74,79.92,43,49.45,92,61.64,16,1.12,46,49.22,Risk
21,19.74,19,19.38,71,30.53,39,39.39,92,89.24,90,90,Risk
47,47.94,81,72.9,42,38.22,15,15.75,44,14.52,70,0,Risk
73,25.55,58,17.98,66,66.66,68,114.92,31,34.41,50,50.5,Risk
94,115.62,17,18.02,35,33.95,24,20.4,30,15.3,45,48.6,Risk
4,4,30,32.1,15,14.55,5,5,36,37.44,86,90.3,Abnormal
58,52.2,86,86.86,8,8,75,80.25,73,2.19,15,27.45,Risk
26,22.36,26,26,20,10.6,51,15.81,71,65.32,25,24.75,Risk
28,9.8,5,8.45,27,24.57,83,87.15,55,57.75,46,71.3,Abnormal
25,23,17,15.81,94,95.88,31,31.31,19,4.94,42,29.4,Risk
73,67.16,22,23.32,12,11.4,74,68.82,82,82.82,14,13.58,Abnormal
88,88,73,68.62,35,35.7,15,12.75,46,45.08,28,25.76,Risk
30,30.3,27,27.54,44,2.2,21,18.27,3,2.94,9,0.9,Risk
34,33.66,25,34,68,64.6,60,55.2,16,15.04,48,48,Abnormal
45,48.15,54,52.92,72,78.48,34,44.2,55,49.5,26,26.78,Risk
23,22.77,30,32.7,18,16.74,48,45.6,36,38.88,4,1.08,Abnormal
44,73.92,87,87,2,2.1,27,27,71,76.68,21,20.37,Abnormal
20,13.2,44,44,34,46.92,30,4.8,51,62.73,44,47.08,Risk
